date,ticker,price
2024-01-01,AAPL,149.58279976818935
2024-01-02,AAPL,148.94882353646028
2024-01-03,AAPL,150.33929162184933
2024-01-04,AAPL,150.0039059065691
2024-01-05,AAPL,149.82735191139852
2024-01-06,AAPL,150.99288004124602
2024-01-07,AAPL,150.9773993974649
2024-01-08,AAPL,151.11087062509398
2024-01-09,AAPL,151.6580531262323
2024-01-10,AAPL,152.52619850421252
2024-01-11,AAPL,153.59624030352387
2024-01-12,AAPL,154.3509956158747
2024-01-13,AAPL,154.39781101423964
2024-01-14,AAPL,154.6424219364277
2024-01-15,AAPL,156.33155368623292
2024-01-16,AAPL,155.7361318053031
2024-01-17,AAPL,156.46779175995127
2024-01-18,AAPL,155.91729572196027
2024-01-19,AAPL,156.47512863479156
2024-01-20,AAPL,156.4191144007843
